master_metadata_album_artist_name,master_metadata_track_name,danceability,energy,valence,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,key
Post Malone,Circles,0.377,0.5539999999999999,0.0582,-8.562000000000001,1.0,0.0329,0.00361,0.00112,0.0899,119.928,2.0
Kanye West,Champion,0.693,0.504,0.723,-8.306000000000001,1.0,0.238,0.00299,0.0,0.695,204.278,6.0
24kGoldn,Company (feat. Future),,,,,,,,,,,
Lil Uzi Vert,444+222,0.7909999999999999,0.513,0.481,-6.568,0.0,0.2689999999999999,0.0235,2.8300000000000003e-05,0.1009999999999999,76.997,10.0
Bernard Jabs,Come Again (feat. iann dior),,,,,,,,,,,
Giveon,Last Time (feat. Snoh Aalegra),0.634,0.416,0.384,-8.507,0.0,0.0446,0.39,1.4300000000000002e-05,0.445,163.0,1.0
Trippie Redd,SWIMMING,,,,,,,,,,,
Travis Scott,Nightcrawler (feat. Swae Lee & Chief Keef),0.522,0.728,0.18,-3.801,0.0,0.0323,0.00134,0.0,0.132,124.045,3.0
24kGoldn,Butterflies,0.737,0.542,0.385,-7.593,1.0,0.0732,0.295,0.0,0.103,119.973,8.0
Clean Bandit,Higher (feat. iann dior),,,,,,,,,,,
Lil Tecca,Miss Me,0.6609999999999999,0.768,0.336,-5.645,0.0,0.0486,0.25,0.0,0.103,160.007,6.0
Lil Yachty,SB5 (feat. Sada Baby),,,,,,,,,,,
Playboi Carti,wokeuplikethis*,0.785,0.62,0.478,-6.667000000000001,1.0,0.254,0.0138,0.0,0.15,156.954,8.0
iann dior,Holding On,0.421,0.935,0.455,-5.153,0.0,0.0697,0.000442,0.000212,0.1,165.02,8.0
Gunna,MET GALA,0.873,0.5770000000000001,0.956,-9.151,1.0,0.271,0.353,0.0,0.111,117.089,1.0
Chance the Rapper,Smoke Again,0.721,0.48,0.508,-9.282,0.0,0.2189999999999999,0.0996,0.0,0.39,120.148,9.0
Young Thug,I'm Scared (feat. 21 Savage & Doe Boy),0.909,0.414,0.138,-7.316,1.0,0.3,0.0033299999999999,3.4e-06,0.114,146.004,1.0
iann dior,shots in the dark (with Trippie Redd),,,,,,,,,,,
Juice WRLD,Man Of The Year,0.7190000000000001,0.879,0.431,-5.186,1.0,0.0344,0.00864,4.16e-05,0.358,111.98,3.0
Young Nudy,No Comprende,,,,,,,,,,,
Playboi Carti,Shoota (feat. Lil Uzi Vert),0.6729999999999999,0.649,0.47,-8.433,0.0,0.196,0.188,0.0,0.122,153.075,1.0
DJ Khaled,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)",,,,,,,,,,,
Lil Tecca,Glo Up,,,,,,,,,,,
Future,Million Dollar Play,0.8390000000000001,0.502,0.585,-5.886,0.0,0.3979999999999999,0.11,0.0,0.115,150.07,0.0
Migos,Straightenin,,,,,,,,,,,
Tory Lanez,FeRRis WhEEL (feat. Trippie Redd),0.807,0.602,0.252,-5.005,1.0,0.2739999999999999,0.0835,0.0,0.151,190.062,11.0
Migos,Vaccine,,,,,,,,,,,
