master_metadata_album_artist_name,master_metadata_track_name
Lil Gnar,"NEW BUGATTI (feat. Ski Mask The Slump God, Chief Keef, DJ Scheme)"
Ben E. King,Stand By Me
Brent Faiyaz,Been Away
Ama Lou,Tried Up
Surfaces,Wave of You
Future,One Of My
Playboi Carti,Poke It Out (with Nicki Minaj)
Metro Boomin,Don't Come Out The House (with 21 Savage)
G Herbo,PTSD
Lil Tecca,Ransom
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
Future,Astronauts
Trippie Redd,GERONIMO (feat. Chino Moreno)
Kid Cudi,Dive
Travis Scott,CAN'T SAY
Trippie Redd,Holy Smokes
fun.,Some Nights
Trippie Redd,DREAMER
Juice WRLD,I Want It
Ama Lou,Not Always
Juice WRLD,Empty
Lil Yachty,Get Dripped (feat. Playboi Carti)
Gunna,Drip or Drown
Gunna,Outstanding
Aminé,Mama
Kanye West,Can't Tell Me Nothing
Playboi Carti,JumpOutTheHouse
Future,Patek
t5xy,srt
Lil Baba,Walk In
Lil Wayne,Multiple Flows (with Lil Uzi Vert)
Ski Mask The Slump God,Nuketown (feat. Juice WRLD)
Quality Control,"Intro (Migos, Lil Yachty feat. Gucci Mane)"
Lil Uzi Vert,Chrome Heart Tags
Future,Stripes Like Burberry
Metro Boomin,Overdue (with Travis Scott)
Polo G,Lost Files
Zedd,Beautiful Now
Marshmello,Be Kind (with Halsey)
Swedish House Mafia,Don't You Worry Child - Radio Edit
Kanye West,Dark Fantasy
Trippie Redd,YELL OH
Lil Uzi Vert,Myron
Playboi Carti,No Sl33p
Lil Uzi Vert,I Can Show You
Juice WRLD,Hear Me Calling
Internet Money,Right Now (feat. Cochise & TyFontaine)
X Ambassadors,Unsteady
Billie Eilish,my strange addiction
Lil Uzi Vert,Moon Relate
Smokepurpp,Do Not Disturb (feat. Lil Yachty & Offset)
Drake,Laugh Now Cry Later (feat. Lil Durk)
Lil Uzi Vert,Futsal Shuffle 2020
NAV,Do Ya Deed (feat. SahBabii)
Moneybagg Yo,If Pain Was A Person
Ne-Yo,So Sick
Calvin Harris,How Deep Is Your Love
Lil Yachty,From Down Bad
Coldplay,Viva La Vida
Billie Eilish,idontwannabeyouanymore
Playboi Carti,Lean 4 Real (feat. Skepta)
Quality Control,"Shoulder (Dayytona Fox, YRN Lingo)"
Roddy Ricch,Start Wit Me (feat. Gunna)
Lil Gnar,Missiles (feat. Trippie Redd)
Polo G,Painting Pictures
Polo G,RAPSTAR
Polo G,No Return (with The Kid LAROI & Lil Durk)
Polo G,Toxic
Polo G,Epidemic
Polo G,GANG GANG (with Lil Wayne)
Polo G,Boom
Polo G,Black Hearted
Polo G,Broken Guitars (with Scorey)
Polo G,GNF (OKOKOK)
Polo G,Go Part 1 (with G Herbo)
