master_metadata_album_artist_name,master_metadata_track_name
RIIZE,Get A Guitar
ENHYPEN,XO (Only If You Say Yes)
aespa,Spicy
SEVENTEEN,TRAUMA
Rumi,Free
HUNTR/X,What It Sounds Like
SEVENTEEN,DON QUIXOTE
Jay Park,All I Wanna Do
Tory Lanez,Pink Dolphin Sunset (feat. Tee)
9DAYS,MOROCCO
SPINALL,Sere
Asake,WHY LOVE
Burna Boy,Alone
Oxlade,OLOLUFE
Burna Boy,Collateral Damage
Rema,MARCH AM
Ayra Starr,Last Heartbreak Song (feat. Giveon)
Asake,Active
Victony,"Soweto (with Don Toliver, Rema & Tempoe)"
TitoM,Tshwala Bam (feat. S.N.E)
Tiwa Savage,Tales By Moonlight (Ft Amaarae)
GIVĒON,Tryna Be
Daniel Caesar,LOVE AGAIN
Alicia Keys,If I Ain't Got You
GIVĒON,World We Created
Snoh Aalegra,I Didn't Mean To Fall In Love
SZA,Kitchen
KAYTRANADA,CHAMPIONSHIP
KAYTRANADA,HOME
KAYTRANADA,TARGET JOINT
KAYTRANADA,THINGS
KAYTRANADA,backstABS
KAYTRANADA,GOOD LUCK
KAYTRANADA,SHINE YOUR LIGHT FOR WE
Ken Carson,K-Hole
Tiwa Savage,Ma Lo
Ruger,Asiwaju
Tyla,PUSH 2 START
StarBoy,Jam (feat. Wizkid)
Pheelz,Finesse
Rema,Dumebi
Hannymoon,Somewhere Else
Victony,Soweto
Victony,Jolene
Burna Boy,TaTaTa (feat. Travis Scott)
Quality Control,Violation Freestyle
Smooky MarGielaa,Rock$tar
Qendresa,2 Much
Leon Thomas,SAFE PLACE
Aminé,Arc de Triomphe
Anieszka,mindreader - jsilos remix
Chase Shakur,FACE IT
Masego,Who Cares Anyway
Ilmago,war inside
KAYTRANADA,Out Of Luck (feat. Mariah the Scientist)
Qendresa,Sweet Lies
Masego,Bliss Abroad
Rochelle Jordan,What You Done
JEMS!,CREEPIN
Jenevieve,Rendezvous
dublon,Evolution
Rochelle Jordan,Dancing Elephants
KAYTRANADA,Stepped On
Leon Thomas,LUCID DREAMS (feat. Masego)
Chase Shakur,nite
Maeta,DJ Got Me
KAYTRANADA,DO IT! (AGAIN!) (feat. TLC)
MF DOOM,Hoe Cakes
Strawberry Guy,Mrs Magic (Strings Version)
TV Girl,99.5
Deftones,Cherry Waves
flyingfish,wonder if you care
late night drive home,Stress Relief
The Neighbourhood,You Get Me So High
TV Girl,The Blonde
Jordana,Better in the Dark
Pinegrove,Need 2
BADBADNOTGOOD,Time Moves Slow
Arctic Monkeys,505
NBSPLV,The Lost Soul Down - Slowed & Reverb
BTS,Miss Right
The Neighbourhood,The Beach
Leon Thomas,I USED TO (feat. Baby Rose)
KAYTRANADA,Pressure
KAYTRANADA,Call U Up (feat. Lou Phelps)
KAYTRANADA,Weird (feat. Durand Bernarr)
KAYTRANADA,Wasted Words (feat. Thundercat)
KAYTRANADA,Snap My Finger (feat. PinkPantheress)
Tay-K,M.... She Wrote
41,"Bent (with Kyle Richh, Jenn Carter & TaTa)"
Bryson Tiller,Whatever She Wants
Draft Day,Close 2 The Sun
Freshie,Double Back
H.E.R.,Focus
Don Toliver,4X4
Cordae,06 dreamin
Gunna,back in the a
D'Aydrian Harding,BIG BODY (feat. DaBaby)
Playboi Carti,SOUTH ATLANTA BABY
dublon,Deja Vu
Maeta,Turn Me On
Qendresa,The Bounce
Young Nudy,Portabella
Jackson Homer,SILVER LINING
Douvelle19,Green Light
Alex Bone,Stuck
Valère,Be with You Tonight
Cupidon,Electric Photograph
LOMELI,Life and Echo
Alex Bone,Look Back
Beau,Stuck On Repeat
Lemonade Baby,Don't Stop (Keep on Keepin on)
Leonardo Das Cabrio,Fallin'
Soul Legend,"Love, Lust & Lofi"
Mel Blue,My Heart's in Your Hands
Potatohead People,Blossoms - Nick Wisdom Remix
AlunaGeorge,Supernatural - Pomo Remix
Ruby Francis,Betcha She Don’t Love You - Sebb Junior Remix Edit
Jafunk,One on One
Foreignlocal.,Again
Mel Blue,Tu Me Manques
Mel Blue,Yesterday
falcxne,Same Song
Loverground,My Love is True
Midnight Pool Party,Nonchalant
Jackson Homer,for u - Radio Edit
Mel Blue,Driveway
Miami Horror,Luv Is Not Enough
Leonardo Das Cabrio,Chills
Ella Rosa,not cute (Kelland Remix)
That Franco,Let U Go
Mel Blue,Best Me
Bad Colours,Maybe I Should Move to LA
Rich Amiri,Havoc
Sexyy Red,U My Everything (feat. Drake)
Lil Gotit,Twisting Our Fingers
Steve Lacy,Nice Shoes
Frank Ocean,Monks
Clairo,Add Up My Love
KAYTRANADA,DON'T WORRY BABE / I GOT U BABE
KAYTRANADA,BLAX
SG Lewis,Something About Your Love
Leonardo Das Cabrio,Blow Up
Maverick Sabre,Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix
DJ NK3,Automotivo Bayside
camoufly,Always
Vrdnyn,Shoreditch (feat. Eljé)
prod. DTM,Rally House
Charlie Iapicone,Playhouse
MAKS (FR),Goodbye Reims
MAKS (FR),Sofiahouse
Tove Lo,HEAT
Victoria Monét,Experience
Skepta,Smoke In Your Eyes
Cajmere,Percolator - Original Mix
Rochelle Jordan,All Along - Kaytranada Remix
Maxsrine,Can You Feel It
Can U,So Sweet
Odeal,Miami (feat. Leon Thomas)
Charli xcx,Guess featuring billie eilish
Tentendo,Sunny
Essosa,LEMONADE
9DAYS,CHEDDAR
Essosa,Waste My Time
NILS,hibiscus
Ragz Originale,ice (feat. BAMBII)
Leon Thomas,My Will
Ragz Originale,chandelier nightmares (feat. Miso Extra)
Leon Thomas,Moments After
Laila!,Grand Opening
Demae,Bloody Bouquets
Remi Soul,EASEURMIND
Sparklmami,running
Ragz Originale,pretty girls luv supreme
Leon Thomas,Fade to Black
Laila!,Flyer Than U
JACK MARLOW,Always Love
Can U,Jet Set
Star.One,Get It Started
HDSN,I House You But Love - Mixed
KAYTRANADA,Oh No (feat. Estelle)
Shift K3Y,On My Mind
Vrdnyn,Same
Ricii Lompeurs,AUTOMOTIVO ESTABILIZAÇÃO
DJ HG MLK É BRABO,Automotivo da Zona Sul 4
DJ EXE,CARTI FUNK INTERESTELAR
GROOVY,BADGURL
Vrdnyn,Turismo
KAYTRANADA,Culture (feat. Teedra Moses)
Loods,Love Is Real
Maxsrine,Get Lazy
Caius,Lonely Place
KAYTRANADA,DYSFUNCTIONAL
Jamie Jones,My Paradise
Reva DeVito,THE MOVE - prod. KAYTRANADA
Cupidon,Can't Get Enough
oskar med k,Make Me Feel
dentist,Paradise
Rad&Co,Unspoken Thoughts
Barbara Tucker,Beautiful People - Obskür Remix
LUCKI,I Don't Care...
Qendresa,Whatever You Like
Paul Grant,U
Malcolm Todd,Zip Up My Fly
Arlo,Blushin
Night Tapes,drifting
Troye Sivan,Rush
Troye Sivan,Rush (feat. PinkPantheress & Hyunjin of Stray Kids)
Cupidon,Feel It
Magdalena Bay,Killshot
Arlo,Alexus
Mel Blue,"Back Then, Computer Sound"
Vrdnyn,All That I Want
54 Ultra,Where Are You
Shelly,Natural
Don Toliver,LOVE IS A DRUG
54 Ultra,What More Can I Do
Joey Bada$$,DARK AURA
Freddie Gibbs,Scottie Beam
SAULT,Why Why Why Why Why
Odeal,Coffee (Don't Read Signs)
Pale Jay,Shameful Game
Pangeaux,HOLDIN' ON
vbnd,Daughter of the Sun
Lucy Park,All Roads
Jackson Homer,IDEA OF US
empireofyu,Swag
Rsieh Raxan,lights camera action
Ragz Originale,what comes next (feat. 24hoursav & Dua Saleh)
Sunny Lou,There It Is
Jackson Homer,Watching Me Dance - Extended Mix
Rochelle Jordan,Already
Don Toliver,PURPLE RAIN (FEAT. FUTURE & METRO BOOMIN)
Sports,Baby Baby
MGMT,Electric Feel
Pale Jay,Dreaming In Slow Motion
Nature TV,Side Eye
Men I Trust,Sugar
Franc Moody,Dream in Colour
Goodvibes Sound,Stay For One More Night
Kainalu,Kamikaze Mushroom Palace
Strawberry Guy,Intermission
Current Joys,Blondie
Do you know Calliandra,rock ur body slowed n reverb (jersey club)
void,WHAT U NEED
DDG,pink dreads
Cash Cobain,dunk contest
Lil Tecca,Salty
DC The Don,1ST OFF
Childish Gambino,Survive (feat. Chlöe)
Amaarae,Kiss Me Thru The Phone pt 2 (with PinkPantheress)
Sam Gellaitry,START UP A RUMOUR
Aluna,The Recipe
NxWorries,Everybody Gets Down
Rochelle Jordan,Doing It Too
NxWorries,MoveOn
dkj,muddy
Men I Trust,Come Back Down
CARRTOONS,Thursday Disco
NxWorries,Another Time
Leven Kali,Sleepwalking
Mac Miller,Dang! (feat. Anderson .Paak)
NxWorries,Daydreaming
Relyae,Don't Mind Them
HolyBrune,Off The Ground
Lou Phelps,IS MY MIC ON?
NxWorries,Get Bigger / Do U Luv
Jordan Lee,Love Ride
JANE HANDCOCK,Stare at Me
Jalen Ngonda,Just As Long As We're Together
NATE08,Primrose (feat. Naisha)
NxWorries,Distractions
Jenevieve,Flight Risk
Samant,RIGIO (fall 4 u)
Yoshi T.,96.5 FM Remix (feat. 3ee)
Kokoroko,Sweetie
NxWorries,Kutless
veggi,WARM NIGHTS
Magic City Hippies,Little Bit Of Love - No Suits Remix
Leon Thomas,DANCING WITH DEMONS
Duckwrth,Grey Scale
Swoosh,Stars Above
Tom Misch,Red Moon
Myles Lloyd,Drive Me Crazy
Lou Phelps,MUST BE
Nascent,Mangosteen (feat. Sailorr & Biako)
SiR,D'Evils
Alicia Keys,You Don't Know My Name
WESLEYFRANKLIN,VENETIAN WINDOWS
Daniel Caesar,Transform (feat. Charlotte Day Wilson)
Avenoir,AFTER HOURS
Mereba,Sandstorm (feat. JID)
River Tiber,West
Summer Walker,Spend It
Khamari,Head in a Jar
WESLEYFRANKLIN,WHERE YOU WANNA GO
SiR,New Sky
Daniel Caesar,Call On Me
Khamari,I Love Lucy
SiR,The Recipe
Leon Thomas,Beg
KAYTRANADA,Caution
Mr. Belt & Wezol,Opened Up My Soul
Steve Lacy,Playground
Lil Yachty,Stunt Double (feat. Rio Da Yung OG)
Veeze,Get Lucki
PlaqueBoyMax,Life Is Proper
Dc2trill,Flawless Victory
Veeze,Unreleased leak
Dani Corteiz,+1 (647)
PlaqueBoyMax,GO
Kendrick Lamar,heart pt. 6
PARTYNEXTDOOR,F o r C e r t a i n
Roy Woods,Drama (feat. Drake)
Childish Gambino,Hold You Down
Duckwrth,Crush
Duckwrth,MICHUUL.
JEMS!,FLIGHTS
Jay Worthy,Wait On You
Cleo Sol,When I'm in Your Arms
GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)"
Hotel Ugly,I Think I Left the Stove On
Malcolm Todd,Art House
Kendrick Lamar,untitled 06 | 06.30.2014.
Rochelle Jordan,All Along
Jenevieve,Medallion
SG Lewis,Chemicals
N.E.R.D,You Know What
Jordan Astra,After Midnight
Snoh Aalegra,LOST YOU
Jenevieve,Hvn High
Duckwrth,Quick - KMB Remix
Humble the Great,circles
Jay Worthy,Leave It Up To Me
Cherry Ferrari,Night Before - Acoustic
Luc de la Croixx,With You - Retro Gleam Rework
DJ Snake,Something Wrong (with Don Toliver)
Teyana Taylor,Open Invite (feat. KAYTRANADA)
Destroy Lonely,LOVE HURTS (with Lil Uzi Vert)
Chance the Rapper,Star Side Intro
Chance the Rapper,Ride (feat. Do or Die)
Chance the Rapper,No More Old Men (feat. Jamila Woods)
Chance the Rapper,The Negro Problem (feat. BJ The Chicago Kid)
Chance the Rapper,Drapetomania (feat. BabyChiefDoit)
Chance the Rapper,Back To The Go (feat. VIC MENSA)
Chance the Rapper,The Highs & The Lows (feat. Joey BadA$$)
Rio Da Yung Og,Legendary
Rio Da Yung Og,Too Legendary
Rio Da Yung Og,Paranoid
Rio Da Yung Og,1v1 (feat. Lil Yachty)
Rio Da Yung Og,RIO FREE
Rio Da Yung Og,Lean Chronicles (feat. Leewayy)
Rio Da Yung Og,R3kless
Fred again..,Victory Lap
PlaqueBoyMax,less is more (with Skepta)
Skepta,Back 2 Back
CIZA,"Isaka II (6am) [with Tems, Omah Lay, Thukuthela, Jazzworx, Lekaa Beats]"
The Kid LAROI,SHE DON'T NEED TO KNOW
AshZone,me & you
Berhana,G2g
PJ,Just Want To Have A Good Time - Vrdnyn Remix
Lil Uzi Vert,Space High
A$AP Rocky,Arya (with Nigo)
Drake,Major Distribution
NxWorries,FromHere (feat. Snoop Dogg & October London)
Kanye West,30 Hours
Café Canela,If I Fall
Marvin Gaye,Distant Lover
Tame Impala,Love/Paranoia
MOIO,Moments
Balu Brigada,Designer
WonderBag,Running Back Boy
d4vd,Crashing (with Kali Uchis)
Malcolm Todd,Comfort Me
beabadoobee,If You Want To
Her's,Harvey
Vacations,Next Exit
Meldrop,Goodman
beabadoobee,California
Cults,Monolithic
Cam Rao,HOLD ME
Biking With Francis,DUMMY!
Foxtide,Am I In Love With You
Strawberry Guy,Sun Outside My Window
Meldrop,Switch It Up
No Vacation,Dræm Girl
LUCA,Denial
Blank Space,When I'm Stoned
Kali Uchis,For: You
WonderBag,Poetry in Motion
beabadoobee,You’re here that’s the thing
54 Ultra,Heaven Knows
Japanese Breakfast,Be Sweet
Her's,Marcel
Daniel Caesar,Loose
Joji,SLOW DANCING IN THE DARK
Sickboyrari,Princess Cuts My Wrist
SZA,Special
The Marías,No One Noticed (Extended Spanish)
Clara La San,In This Darkness
Frank Ocean,Seigfried
Joji,worldstar money (interlude)
jaydes,migraine
Khamari,"Doctor, My Eyes"
Current Joys,Kids
Duster,Inside Out
Dean Blunt,100
Beach House,Wildflower
Bella Kay,The Sick
sombr,undressed
Bon Iver,For Emma
The Marías,Nobody New
Arctic Monkeys,Only Ones Who Know
alan vuong,DEEP IN YOUR SOUL
Strawberry Guy,What Would I Do?
Vacations,Relax
Eyedress,Body Dysmorphia
TV Girl,It Almost Worked
Pinegrove,Problems
Khamari,Tell Me
Frank Ocean,Swim Good
Khamari,Drifting
Mac Miller,Come Back to Earth
Goldy,Oh Baby
Goldy,No More
Goldy,Padmé
Mel Blue,Fantasy
Omar+,Namerakana 2.0
HolyBrune,Catching Feelings
Free Nationals,Apartment (feat. Benny Sings)
Yves!,1 of 1.
The Weeknd,Timeless (feat Playboi Carti)
Kal Banx,HOP OUT CHO FEELINS
Childish Gambino,"III. Telegraph Ave. (""Oakland"" by Lloyd)"
Tems,Love Me JeJe
Mac Miller,What's the Use?
A Tribe Called Quest,Electric Relaxation
Erykah Badu,Window Seat
The Weeknd,Cry For Me
d4vd,Feel It
Jungle,Beat 54 (All Good Now)
Aminé,LA
Cochise,DESIGNER
Daniel Caesar,Pain Is Inevitable
Blood Orange,Chewing Gum
"Tyler, The Creator",Treehome95 (feat. Coco O. & Erykah Badu)
The Internet,"Palace/Curse (feat. Tyler, The Creator & Steve Lacy)"
Kendrick Lamar,Chapter Six
Frank Ocean,Sierra Leone
Odeal,London Summers
Odeal,My Heart
Odeal,Obi's Interlude
Odeal,Monster Boys
Odeal,Patience
Odeal,In the Chair
Odeal,Fine By Myself
The Marías,Sienna
Radiohead,Creep
The Goo Goo Dolls,Iris
Rio Da Yung Og,Something Happen
Childish Gambino,Pop Thieves (Make It Feel Good)
IDK,CLOVER
Sade,Lovers Rock
Don Toliver,Tiramisu
The Kilans,Why Is It Light Out?
Avenoir,D4U - Spotify Singles
Fred again..,Homies (feat. Henry Wu)
ZARG,Saint-Tropez
KAYTRAMINÉ,K&A
Don Toliver,DEEP IN THE WATER
Outkast,The Way You Move (feat. Sleepy Brown)
BLP KOSHER,Pro Open (with BabyTron)
The Alchemist,Ferraris in The Rain Part 2 (feat. ScHoolBoy Q & Freddie Gibbs)
Snow Strippers,Just Your Doll
RomancePlanet,FALL FROM THE SKY PT. 2
Malcolm Todd,Hesitating
Kendrick Lamar,peekaboo (feat. azchike)
OVEOUS,Queimar - Oyobi Remix
Abhi//Dijon,Ecs
Chris Mula,FINE SHYT!
Chris Mula,Rock Yo Hips
Cochise,I LIE
Lelo,Paris
Brent Faiyaz,Big Mad Skit
Brent Faiyaz,Soon Az I Get Home
Brent Faiyaz,Make It Out
Paperboy Fabe,Language
Ken Carson,Kryptonite
Smokey Bubblin' B,Rinse Out
A-Trak,Coming Home
Casey Veggies,DTA
La Roux,"Automatic Driver - Tyler, The Creator Remix"
"Tyler, The Creator",RUNNING OUT OF TIME
Thundercat,Them Changes
The Marías,Real Life
Kendrick Lamar,Wesley's Theory
Jitwam,Opendoors
Drake,Push Ups
Masino,Come Back Alone
Thee Sacred Souls,Let Me Feel Your Charm - Spotify Singles
54 Ultra,Upside Down
Drake,DOG HOUSE (feat. Julia Wolf & Yeat)
prodbycpkshawn,Yo Bunny
CARRTOONS,Groceries
CARRTOONS,Grace
Café Canela,Stuck In Love
Thee Sacred Souls,Overflowing
The Altons,Over and Over
Jalen Ngonda,If You Don't Want My Love
Danny & The Dreamers,Eternal Love
Delegation,Oh Honey
DC The Don,i want you <3
Don Toliver,BROTHER STONE (FEAT. KODAK BLACK)
Cochise,FAKE LOVE
Jordan Ward,JUICY
PXRKX,Oxygen
Star.One,Jumpy
jsilos,Down4Me
Eljé,I want you
SOSA,Your Love
Thee Sacred Souls,Easier Said Than Done
Thee Sacred Souls,Running Away
CARRTOONS,Pressure
Bertha Tillman,Oh My Angel
Bertha Tilman,I Wish
Masino,All I Need
Danny & The Dreamers,"Baby, Something's Wrong"
Kyle Richh,4100 One Mic Cypher
Playuncle Farti,UPSIDE DOWN
Playboi Carti,BACKD00R (feat. Kendrick Lamar & Jhené Aiko)
Adam Port,Move
Rauw Alejandro,Qué Pasaría...
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Rauw Alejandro,Dile a El
JHAYCO,Passoa
Bad Bunny,EL CLúB
J Balvin,Doblexxó
sosocamo,keep steady
Gunna,YSL (feat. Playboi Carti)
Yeat,GEEK TIMË
sosocamo,don’t panic
Don Toliver,DONNY DARKO (FEAT. LIL UZI VERT)
Playboi Carti,TWIN TRIM (with Lil Uzi Vert)
Playboi Carti,TRIM (with Future)
Jungle,Candle Flame
¥$,BACK TO ME
Lil Uzi Vert,Zoom (Bonus Track)
iann dior,romance361 (feat. PnB Rock)
Mac Miller,Kool Aid & Frozen Pizza
LUCKI,KYLIE!!!
A$AP Rocky,r - Cali
Khantrast,Landed in Brooklyn - Remix
Real Boston Richey,Still Gon Go (with Lil Yachty)
Lil Uzi Vert,Shardai (Bonus Track)
Future,Like That
Jamie xx,Dream Night
KAYTRAMINÉ,4EVA
¥$,RIVER
¥$,FIELD TRIP
Pi’erre Bourne,Try Again
Pi’erre Bourne,Honeyberry
Lil Tecca,Fell In Love (with Ken Carson)
Destroy Lonely,new new
¥$,PROMOTION
Thee Sacred Souls,Can I Call You Rose?
CARRTOONS,Taurus
TiaCorine,Ironic
Playboi Carti,DIS 1 GOT IT
Liim,Memorize
fzxr 2,Watch This
Destroy Lonely,aint hard
Destroy Lonely,risk
Destroy Lonely,see no evil
lil hero,big ballin
Eyedress,The Dark Prince (feat. Mac DeMarco)
Blood Orange,Champagne Coast
Mild Minds,MOVEMENTS
lil hero,gun show
lil hero,movie boy
Mac DeMarco,Freaking Out the Neighborhood
Eyedress,Let's Skip to the Wedding
Vacations,Home
Empire Of The Sun,Music On The Radio
Rio Da Yung Og,Different Music
Rio Da Yung Og,Movie
Rio Da Yung Og,S.O.T.B.
Wakko The Kidd,Back N Forth
Rio Da Yung Og,Skittle Head
The Weeknd,Tell Your Friends
Daniel Allan,Bet You Didn't Need
Tsu Nami,eye2eye
Willix,FM'92
Jonas Blue,Edge of Desire
jacal,resonance - midwest emo version
JEMS!,SLIDIN
PinkPantheress,Noticed I Cried - O.J.C Remix
Destroy Lonely,top flo
pryme!,dangerous
Lil Wayne,Throw It In
Fabolous,Throw It In The Bag - Remix
2006WR,with u
Biking With Francis,SYNERGY
Clark Rainbow,beReal
Take Van,Still Bound
Mysie,TASTE
1 9 0 5,Gimme'
Amber Mark,Let Me Love You
Harrison,Southwood
Knxwledge,dont be afraid
The Kid LAROI,TOO MUCH
Nascent,On My Own
ESPRIT 空想,Warmpop
Frank Ocean,White
¿Téo?,Magic Hour
Nujabes,sea of cloud
Drake,On BS
BabyTron,1 MINUTE FREESTYLE
Teezo Touchdown,Sweet (feat. Fousheé)
Carter Ace,no facade - demo
Avenoir,Alone
Unusual Demont,AMBER
Fousheé,candy grapes (feat. Steve Lacy)
Liim,Older Than Me
cikho,DARLIN GIRL
Amaria,Afford You
greek,2:35 AM
Noah Guy,HARD KNOCK LULLABY
PawPaw Rod,HIT EM WHERE IT HURTS
Fousheé,do you have a soul?
SiR,OUT OF MY HANDS
MiLES.,Test Of Time
Maeta,Questions
Destroy Lonely,JETLGGD
Cochise,YOSHIMITSU
Draft Day,Sunday Talkin
GIVĒON,Last Time (feat. Snoh Aalegra)
Cordae,Don’t Walk Away (feat. Jordan Ward & Ravyn Lenae)
Casper Sage,Flow State
Daniel Caesar,Disillusioned (with serpentwithfeet)
Snoh Aalegra,Situationship
Rochelle Jordan,Sweet Sensation
Venna,Myself (feat. Jorja Smith)
NxWorries,KeepHer (feat. Thundercat) (Knxwledge Remix)
Thundercat,I Wish I Didn’t Waste Your Time
SG Lewis,Feed The Fire (feat. Lucky Daye)
Masego,Mystery Lady
greek,DANCE
Don Toliver,ROCKSTAR GIRL
Cordae,Two Tens (feat. Anderson .Paak) - Bonus Track
NLE Choppa,Or What
Lil Joker King,Rip Yams
Playboi Carti,MUNYUN
The Weeknd,Open Hearts
glaive,the prom
Golden Cats,Jaded
"Dream, Ivory",welcome and goodbye
TV Girl,Hate Yourself
Beach House,Master of None
Imogen Heap,Just for Now
jaydes,hysteric
sombr,would've been you
d4vd,One More Dance
Julie Doiron,August 10
Beach House,Silver Soul
Current Joys,Fear
Suki Waterhouse,Good Looking
Men I Trust,Numb
d4vd,My House Is Not A Home
Rehash,Back To Strangers
Flawed Mangoes,Surreal
jaydes,misery
Mac DeMarco,No Other Heart
Rex Orange County,Television / So Far So Good
aldn,icantbelieveiletyougetaway
Radiohead,All I Need
The Marías,Back To Me
EKKSTACY,i walk this earth all by myself
d4vd,Take Me To The Sun
Coldplay,Sparks
The Autocollants,Apple Vines
sombr,back to friends
60 juno,zzz
The Marías,Paranoia
sombr,do i ever cross your mind
EKKSTACY,i just want to hide my face
aldn,2016
d4vd,Fly Away
Vacations,Be There
Tame Impala,Dracula
Tame Impala,Loser
Mel Blue,Slice
Mel Blue,Frake
Mel Blue,2 Go
Mel Blue,$ame Thing
Mel Blue,atleastnowweknowwhattodo
Mel Blue,Say Say
Mel Blue,None of That
Mel Blue,Secret Crush
Mel Blue,Same As I
Mel Blue,Be That to You
greek,hmu
AshZone,take a picture
3ee,OVR
H.E.R.,Avenue
Leon Thomas,I DO
Rayana Jay,Breakfast in Bed
Jordan Ward,Jealousy
Cash Cobain,slizzyhunchodon (feat. Quavo & Don Toliver)
Odeal,Gave You My All
Noah Guy,DEVIN'S HOUSE
Amaria,All I'd Ever Know
Odeal,Blame U
Venna,"Sun, Moon & Herbs"
3ee,STOPNGO
Noah Guy,MY LOSS (with Amaria & Billy Lemos)
Amaria,Dream of You
Odeal,All That It Takes
The Internet,Get Away
The Internet,Gabby (feat. Janelle Monáe)
The Internet,Under Control
The Internet,Go with It (feat. VIC MENSA)
The Internet,Just Sayin/I Tried
The Internet,For the World (feat. James Fauntleroy)
The Internet,Girl (feat. KAYTRANADA)
The Internet,Somthing's Missing
The Internet,Partners in Crime Part Three
Lil Uzi Vert,Right Now
The Internet,Penthouse Cloud
Frank Ocean,Pretty Sweet
Leon Thomas,VIBES DON'T LIE
Venna,June's Cry
That Franco,KNOWUBETTER
Soul Legend,u can get it
Ella Rosa,ur face (Indigo Eyes Remix)
Lemonade Baby,Slaaay
That Franco,REALLYLOVE
Soul Legend,what i feel
Future,Young Metro
MAKS (FR),Mistral
Tyla,Water
khxznq,d4vd - celeste
9DAYS,HOLD ON IT (PUZZLE)
Odeal,Repercussions
3ee,PDA
Olamide,KANA
Trippie Redd,Hate Me (feat. YoungBoy Never Broke Again)
Ken Carson,2000
Juice WRLD,I'll Be Fine
mznpb,1600
kelseyi,Dummy Man
DC The Don,MET AT A PARTY
Lil Uzi Vert,We Good
frezickos,Blowed Da Whistle
J Balvin,COMO UN BEBÉ
Tyla,Truth or Dare
CKay,Anya Mmiri
Asake,MMS
Childish Gambino,Fire Fly
Frank Ocean,Biking
Kanye West,Roses
Bruno Mars,After Last Night (with Thundercat & Bootsy Collins)
Malcolm Todd,On My Shoulder
Bruno Mars,Fly As Me
Freddie Gibbs,Babies & Fools (feat. Conway the Machine)
Malcolm Todd,Cute Shirt (Interlude)
Playboi Carti,CHARGE DEM HOES A FEE (with Future & Travis Scott)
Ron Suno,Jungle Fever (feat. J.P.)
Panchiko,D>E>A>T>H>M>E>T>A>L
Saint Etienne,Only Love Can Break Your Heart - Masters at Work Mix
lil hero,Hero Rider Jeans (Dun Dun Dun)
Lou Phelps,Come Inside (Kaytranada Edit)
Chris Patrick,Ramen Noodles
JACK MARLOW,Sweet Talker
Stunna 4 Vegas,Yunnnn
Mel Blue,Diamonds
Destroy Lonely,open it up (with Ken Carson)
The Marías,Ay No Puedo
Kali Uchis,Simple
Quelle Rox,apareces de la nada
Paco,LOSE YOURSELF.
Empire Of The Sun,Half Mast
Tate McRae,Sports car
Michael Jackson,Smooth Criminal - 2012 Remaster
Aminé,I Think It's You
Gunna,treesh
A$AP Rocky,Shittin' Me
Playboi Carti,FINE SHIT
Concrete Boys,"POINT ME TO IT (feat. Lil Yachty, Camo!)"
Future,Heart In Pieces
Destroy Lonely,BERGDORF
Don Toliver,Luckily I’m Having (feat. Teezo Touchdown)
Lady Gaga,Die With A Smile
Kendrick Lamar,meet the grahams
Trippie Redd,Dark Knight Dummo (feat. Travis Scott)
aura$,4100 One Mic freestyle
Childish Gambino,In The Night (feat. Jorja Smith & Amaarae)
Afro B,Drogba (Joanna)
Amaarae,Big Steppa
Chris Brown,Sensational (feat. Davido & Lojay)
Midas the Jagaban,Party With A Jagaban
Babyboy AV,Confession
Oxlade,KU LO SA - A COLORS SHOW
Wizkid,Ojuelegba
Omah Lay,soso
AJ Tracey,FYN
Denzel Curry,STILL IN THE PAINT (with LAZER DIM 700 & Bktherula)
Don Toliver,TORE UP
Juice WRLD,Cigarettes
Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj)
Clairo,Softly
Sabrina Carpenter,Don’t Smile
Victony,Kolomental
Nao,Drive and Disconnect
Tems,The Key
Future,Throw Away
Daniel Caesar,OPEN UP
Daniel Caesar,TOO DEEP TO TURN BACK
Smino,Matinee
Smino,"Pro Freak (with Doechii, Fatman Scoop)"
Smino,"Modennaminute (with Lucky Daye, Phoelix)"
Sonder,One Night Only
Sonder,Someone New
Laufey,Falling Behind
Drake,Summers Over Interlude
So Supa,Dumb Crasy
Terrace Martin,Beige
Thundercat,Dragonball Durag
KAYTRANADA,Need It (feat. Masego)
Destroy Lonely,if looks could kill
Flo Milli,Never Lose Me
KAYTRANADA,Look Easy
KAYTRANADA,Puff Lah
D.O.D,Sleepless
kryptogram,How Long Have You Been Away?
RSCL,Lost
Shiba San,I Wanna - Tchami Remix
RAYE,Escapism. - Sped Up
Fred again..,adore u
Route 94,My Love
Masego,Tadow
Eliza Rose,B.O.T.A. (Baddest Of Them All) - Edit
Frank Ocean,Lost
Tame Impala,Nangs
KAYTRANADA,Vex Oh feat. GoldLink & Ari PenSmith
Fabich,Ecstasy - Mixed
KAYTRANADA,CHANCES
Teyana Taylor,Rose In Harlem
Maverick Sabre,Slow Down
James Hype,Ferrari
Tom Santa,Rainfall (Praise You)
Tems,Damages
SZA,Gone Girl
KAYTRAMINÉ,Who He Iz
iWhinky,Been Gettin' Money
